item_id,candidate_rank,candidate_label,candidate_layer,candidate_token_id,candidate_orientation,branch,condition,intervention_layer,support_drop,candidate_score,oriented_candidate_score,choice_margin
2,1, UIImagePickerController,42,75075,-1,correctness,targeted_weak_preserved,31,1.700885500614504,1.6328125,-1.6328125,7.000095209201163
2,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_preserved,31,2.2372005815434477,1.6484375,-1.6484375,6.7500868051743055
2,1, UIImagePickerController,42,75075,-1,correctness,random_strong_preserved,31,-3.544266746757785e-07,1.6796875,-1.6796875,7.375088697051069
2,1, UIImagePickerController,42,75075,-1,correctness,support_matched_alternative_preserved,23,2.1260821954699622,1.671875,-1.671875,6.375076790642424
2,1, UIImagePickerController,42,75075,-1,correctness,alternative_random_preserved,23,0.00021041647528363683,1.6953125,-1.6953125,7.75010167090295
2,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_reset,31,2.2372005815434477,1.671875,-1.671875,7.625089605255539
2,1, UIImagePickerController,42,75075,-1,confidence,clean_preserved,,0.0,2.828125,-2.828125,9.875643588313046
2,1, UIImagePickerController,42,75075,-1,confidence,targeted_weak_preserved,31,1.700885500614504,2.78125,-2.78125,9.375859282665779
2,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_preserved,31,2.2372005815434477,2.765625,-2.765625,9.250864404438069
2,1, UIImagePickerController,42,75075,-1,confidence,random_strong_preserved,31,-3.544266746757785e-07,2.8125,-2.8125,9.750741741360237
2,1, UIImagePickerController,42,75075,-1,confidence,support_matched_alternative_preserved,23,2.1260821954699622,2.828125,-2.828125,8.3757533169316
2,1, UIImagePickerController,42,75075,-1,confidence,alternative_random_preserved,23,0.00021041647528363683,2.828125,-2.828125,9.875679558044233
2,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_reset,31,2.2372005815434477,2.828125,-2.828125,9.875643588313046
3,1, UIImagePickerController,42,75075,-1,correctness,clean_preserved,,0.0,2.234375,-2.234375,7.375243480188146
3,1, UIImagePickerController,42,75075,-1,correctness,targeted_weak_preserved,31,1.2263840104938026,2.21875,-2.21875,7.250167748987678
3,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_preserved,31,1.4092406770655543,2.234375,-2.234375,7.125166765494669
3,1, UIImagePickerController,42,75075,-1,correctness,random_strong_preserved,31,1.6447725897705823e-05,2.203125,-2.203125,7.125240339707261
3,1, UIImagePickerController,42,75075,-1,correctness,support_matched_alternative_preserved,23,1.4072319645833886,2.21875,-2.21875,6.000175969886641
3,1, UIImagePickerController,42,75075,-1,correctness,alternative_random_preserved,23,-1.3111282328281959e-05,2.25,-2.25,7.125219604957692
3,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_reset,31,1.4092406770655543,2.234375,-2.234375,7.375243480188146
3,1, UIImagePickerController,42,75075,-1,confidence,clean_preserved,,0.0,2.953125,-2.953125,9.626067686672009
3,1, UIImagePickerController,42,75075,-1,confidence,targeted_weak_preserved,31,1.2263840104938026,2.9375,-2.9375,9.625921563579624
3,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_preserved,31,1.4092406770655543,2.9375,-2.9375,9.625786990843501
3,1, UIImagePickerController,42,75075,-1,confidence,random_strong_preserved,31,1.6447725897705823e-05,2.9375,-2.9375,9.751061479669374
3,1, UIImagePickerController,42,75075,-1,confidence,support_matched_alternative_preserved,23,1.4072319645833886,2.90625,-2.90625,8.876141982982062
3,1, UIImagePickerController,42,75075,-1,confidence,alternative_random_preserved,23,-1.3111282328281959e-05,2.9375,-2.9375,9.376184719133732
3,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_reset,31,1.4092406770655543,2.953125,-2.953125,9.626067686672009
4,1, UIImagePickerController,42,75075,-1,correctness,clean_preserved,,0.0,1.921875,-1.921875,9.250191081549929
4,1, UIImagePickerController,42,75075,-1,correctness,targeted_weak_preserved,31,3.2876196923349426,1.9296875,-1.9296875,9.125187559788174
4,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_preserved,31,3.650946513695658,1.9140625,-1.9140625,9.125167439266988
4,1, UIImagePickerController,42,75075,-1,correctness,random_strong_preserved,31,0.00038611460820447974,1.953125,-1.953125,9.375210890478911
4,1, UIImagePickerController,42,75075,-1,correctness,support_matched_alternative_preserved,23,4.0169112443533095,1.9765625,-1.9765625,8.00015008789569
4,1, UIImagePickerController,42,75075,-1,correctness,alternative_random_preserved,23,0.00021215376966665644,1.9453125,-1.9453125,9.250237064138673
4,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_reset,31,3.650946513695658,1.921875,-1.921875,9.250191081549929
4,1, UIImagePickerController,42,75075,-1,confidence,clean_preserved,,0.0,2.828125,-2.828125,11.876631660846982
4,1, UIImagePickerController,42,75075,-1,confidence,targeted_weak_preserved,31,3.2876196923349426,2.796875,-2.796875,11.12697498380831
4,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_preserved,31,3.650946513695658,2.796875,-2.796875,11.001766189473102
4,1, UIImagePickerController,42,75075,-1,confidence,random_strong_preserved,31,0.00038611460820447974,2.828125,-2.828125,11.751287328477481
4,1, UIImagePickerController,42,75075,-1,confidence,support_matched_alternative_preserved,23,4.0169112443533095,2.796875,-2.796875,10.501524882694781
4,1, UIImagePickerController,42,75075,-1,confidence,alternative_random_preserved,23,0.00021215376966665644,2.796875,-2.796875,11.876322086389479
4,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_reset,31,3.650946513695658,2.828125,-2.828125,11.876631660846982
57,1, UIImagePickerController,42,75075,-1,correctness,clean_preserved,,0.0,1.515625,-1.515625,2.126383862680086
57,1, UIImagePickerController,42,75075,-1,correctness,targeted_weak_preserved,31,0.7231620440434199,1.484375,-1.484375,2.5015733897689643
57,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_preserved,31,0.7255282204787363,1.484375,-1.484375,2.6265987137912816
57,1, UIImagePickerController,42,75075,-1,correctness,random_strong_preserved,31,-0.006559052319062175,1.5078125,-1.5078125,2.2512049465585733
57,1, UIImagePickerController,42,75075,-1,correctness,support_matched_alternative_preserved,23,0.5635930331936834,1.546875,-1.546875,1.7524543855270167
57,1, UIImagePickerController,42,75075,-1,correctness,alternative_random_preserved,23,-8.191594133677427e-05,1.5234375,-1.5234375,2.251737211670843
57,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_reset,31,0.7255282204787363,1.515625,-1.515625,2.126383862680086
57,1, UIImagePickerController,42,75075,-1,confidence,clean_preserved,,0.0,2.59375,-2.59375,4.125305356297929
57,1, UIImagePickerController,42,75075,-1,confidence,targeted_weak_preserved,31,0.7231620440434199,2.609375,-2.609375,4.375402049278023
57,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_preserved,31,0.7255282204787363,2.625,-2.625,4.375407586689192
57,1, UIImagePickerController,42,75075,-1,confidence,random_strong_preserved,31,-0.006559052319062175,2.640625,-2.640625,4.500371922840941
57,1, UIImagePickerController,42,75075,-1,confidence,support_matched_alternative_preserved,23,0.5635930331936834,2.53125,-2.53125,4.875535750485341
57,1, UIImagePickerController,42,75075,-1,confidence,alternative_random_preserved,23,-8.191594133677427e-05,2.65625,-2.65625,4.000307907903618
57,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_reset,31,0.7255282204787363,2.59375,-2.59375,4.125305356297929
67,1, UIImagePickerController,42,75075,-1,correctness,clean_preserved,,0.0,2.03125,-2.03125,15.375501800859638
67,1, UIImagePickerController,42,75075,-1,correctness,targeted_weak_preserved,31,61.10222076880121,2.0,-2.0,14.188442034374475
67,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_preserved,31,65.97900807817189,1.96875,-1.96875,14.375761204825267
67,1, UIImagePickerController,42,75075,-1,correctness,random_strong_preserved,31,0.32390331492663904,2.03125,-2.03125,15.000465923080924
67,1, UIImagePickerController,42,75075,-1,correctness,support_matched_alternative_preserved,23,71.74121225937517,1.8125,-1.8125,13.001029093866691
67,1, UIImagePickerController,42,75075,-1,correctness,alternative_random_preserved,23,-0.17534232757734713,1.9921875,-1.9921875,15.250447799420272
67,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_reset,31,65.97900807817189,2.03125,-2.03125,15.375501800859638
67,1, UIImagePickerController,42,75075,-1,confidence,clean_preserved,,0.0,2.78125,-2.78125,8.127032819754731
67,1, UIImagePickerController,42,75075,-1,confidence,targeted_weak_preserved,31,61.10222076880121,2.75,-2.75,7.255067608380159
67,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_preserved,31,65.97900807817189,2.734375,-2.734375,7.254996862367989
67,1, UIImagePickerController,42,75075,-1,confidence,random_strong_preserved,31,0.32390331492663904,2.78125,-2.78125,8.127263045780637
67,1, UIImagePickerController,42,75075,-1,confidence,support_matched_alternative_preserved,23,71.74121225937517,2.75,-2.75,6.8816100360236305
67,1, UIImagePickerController,42,75075,-1,confidence,alternative_random_preserved,23,-0.17534232757734713,2.796875,-2.796875,8.377605917252367
67,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_reset,31,65.97900807817189,2.78125,-2.78125,8.127032819754731
68,1, UIImagePickerController,42,75075,-1,correctness,clean_preserved,,0.0,2.046875,-2.046875,13.875530832438017
68,1, UIImagePickerController,42,75075,-1,correctness,targeted_weak_preserved,31,43.475144025138654,2.03125,-2.03125,11.251002428589345
68,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_preserved,31,45.942522183081785,2.0,-2.0,10.875887851170774
68,1, UIImagePickerController,42,75075,-1,correctness,random_strong_preserved,31,-0.005148305641853312,2.046875,-2.046875,14.500480314687138
68,1, UIImagePickerController,42,75075,-1,correctness,support_matched_alternative_preserved,23,43.04257791651003,1.625,-1.625,5.000219179411033
68,1, UIImagePickerController,42,75075,-1,correctness,alternative_random_preserved,23,-0.2400231772471102,2.0625,-2.0625,13.563031072151716
68,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_reset,31,45.942522183081785,2.046875,-2.046875,13.875530832438017
68,1, UIImagePickerController,42,75075,-1,confidence,clean_preserved,,0.0,2.5,-2.5,9.440336991633643
68,1, UIImagePickerController,42,75075,-1,confidence,targeted_weak_preserved,31,43.475144025138654,2.453125,-2.453125,8.005686902737978
68,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_preserved,31,45.942522183081785,2.4375,-2.4375,8.068237437118512
68,1, UIImagePickerController,42,75075,-1,confidence,random_strong_preserved,31,-0.005148305641853312,2.484375,-2.484375,9.252456289403398
68,1, UIImagePickerController,42,75075,-1,confidence,support_matched_alternative_preserved,23,43.04257791651003,2.375,-2.375,6.128120781293262
68,1, UIImagePickerController,42,75075,-1,confidence,alternative_random_preserved,23,-0.2400231772471102,2.5,-2.5,9.377485582464573
68,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_reset,31,45.942522183081785,2.5,-2.5,9.440336991633643
82,1, UIImagePickerController,42,75075,-1,correctness,clean_preserved,,0.0,0.984375,-0.984375,10.687904373651236
82,1, UIImagePickerController,42,75075,-1,correctness,targeted_weak_preserved,31,69.48998151154558,0.8828125,-0.8828125,8.937807703453018
82,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_preserved,31,71.32545480458828,0.91015625,-0.91015625,8.937816017373734
82,1, UIImagePickerController,42,75075,-1,correctness,random_strong_preserved,31,-0.45450404224868635,1.0,-1.0,10.687945791604761
82,1, UIImagePickerController,42,75075,-1,correctness,support_matched_alternative_preserved,23,87.58824101241339,0.85546875,-0.85546875,9.625363166603165
82,1, UIImagePickerController,42,75075,-1,correctness,alternative_random_preserved,23,-0.6168720408261379,1.0078125,-1.0078125,11.3129080469987
82,1, UIImagePickerController,42,75075,-1,correctness,targeted_strong_reset,31,71.32545480458828,0.984375,-0.984375,10.687904373651236
82,1, UIImagePickerController,42,75075,-1,confidence,clean_preserved,,0.0,2.546875,-2.546875,9.065475393566885
82,1, UIImagePickerController,42,75075,-1,confidence,targeted_weak_preserved,31,69.48998151154558,2.546875,-2.546875,8.00307907232127
82,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_preserved,31,71.32545480458828,2.546875,-2.546875,7.878168415991695
82,1, UIImagePickerController,42,75075,-1,confidence,random_strong_preserved,31,-0.45450404224868635,2.546875,-2.546875,9.065500838139542
82,1, UIImagePickerController,42,75075,-1,confidence,support_matched_alternative_preserved,23,87.58824101241339,2.5625,-2.5625,7.753295094170426
82,1, UIImagePickerController,42,75075,-1,confidence,alternative_random_preserved,23,-0.6168720408261379,2.59375,-2.59375,9.190180428723579
82,1, UIImagePickerController,42,75075,-1,confidence,targeted_strong_reset,31,71.32545480458828,2.546875,-2.546875,9.065475393566885
