item_id,prompt,item_type,answer_key,difficulty,domain,detail
34,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Dirichlet distribution is a conjugate prior for the multinomial distribution.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,4,statistics,The Dirichlet distribution is a conjugate prior for the multinomial distribution.
35,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Broca's area is primarily associated with language comprehension.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,4,neuroscience,Broca's area is primarily associated with language comprehension.
36,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The central limit theorem applies regardless of the shape of the population distribution.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,4,statistics,The central limit theorem applies regardless of the shape of the population distribution.
37,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Kahneman and Tversky's prospect theory predicts that people are risk-seeking for gains.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,4,psychology,Kahneman and Tversky's prospect theory predicts that people are risk-seeking for gains.
38,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Stroop effect demonstrates the automaticity of reading.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,4,psychology,The Stroop effect demonstrates the automaticity of reading.
39,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""In Bayesian inference, the posterior is proportional to the likelihood times the prior.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,4,statistics,"In Bayesian inference, the posterior is proportional to the likelihood times the prior."
40,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Stevens' power law subsumes Weber's law as a special case when the exponent equals 1.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,5,psychophysics,Stevens' power law subsumes Weber's law as a special case when the exponent equals 1.
41,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The original Dunning-Kruger (1999) study tested participants exclusively on logical reasoning.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,5,psychology,The original Dunning-Kruger (1999) study tested participants exclusively on logical reasoning.
42,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Representational similarity analysis was introduced by Kriegeskorte et al. in 2008.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,5,neuroscience,Representational similarity analysis was introduced by Kriegeskorte et al. in 2008.
43,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The efficient coding hypothesis predicts that neural responses should be uniformly distributed.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,5,neuroscience,The efficient coding hypothesis predicts that neural responses should be uniformly distributed.
44,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""In hierarchical Bayesian models, overhypotheses correspond to hyperprior parameters.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,5,statistics,"In hierarchical Bayesian models, overhypotheses correspond to hyperprior parameters."
45,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Mutual exclusivity in word learning is stronger in bilingual children than monolingual children.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,5,developmental,Mutual exclusivity in word learning is stronger in bilingual children than monolingual children.
46,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The BIC penalty term grows logarithmically with sample size.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,5,statistics,The BIC penalty term grows logarithmically with sample size.
47,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Scalar expectancy theory predicts that temporal discrimination follows Weber's law.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,5,psychophysics,Scalar expectancy theory predicts that temporal discrimination follows Weber's law.
48,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Meta-d' (Maniscalco & Lau, 2012) measures type-1 perceptual sensitivity rather than metacognitive sensitivity.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,5,psychophysics,"Meta-d' (Maniscalco & Lau, 2012) measures type-1 perceptual sensitivity rather than metacognitive sensitivity."
49,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The binding problem in neuroscience was solved by the discovery of grandmother cells.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,5,neuroscience,The binding problem in neuroscience was solved by the discovery of grandmother cells.
50,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Rescorla-Wagner model predicts that learning rate increases monotonically with prediction error magnitude.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,5,psychology,The Rescorla-Wagner model predicts that learning rate increases monotonically with prediction error magnitude.
51,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Fechner's law is derived by integrating Weber's law.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,5,psychophysics,Fechner's law is derived by integrating Weber's law.
52,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Searle's Chinese Room argument was designed to refute strong AI.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,5,philosophy,Searle's Chinese Room argument was designed to refute strong AI.
53,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Item Response Theory assumes that all items have equal discrimination parameters.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,5,psychometrics,Item Response Theory assumes that all items have equal discrimination parameters.
54,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The McGurk effect demonstrates that visual information can override auditory perception in speech.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,5,psychophysics,The McGurk effect demonstrates that visual information can override auditory perception in speech.
55,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Helmholtz was the first to measure the speed of nerve conduction.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,5,neuroscience,Helmholtz was the first to measure the speed of nerve conduction.
56,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""In Milgram's original (1963) obedience experiment, exactly 50% of participants administered the maximum shock.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,6,psychology,"In Milgram's original (1963) obedience experiment, exactly 50% of participants administered the maximum shock."
57,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Benford's law predicts that the digit 1 appears as the leading digit approximately 30% of the time in many real-world datasets.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,6,statistics,Benford's law predicts that the digit 1 appears as the leading digit approximately 30% of the time in many real-world datasets.
58,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Wisconsin Card Sorting Test primarily measures episodic memory.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,6,neuropsychology,The Wisconsin Card Sorting Test primarily measures episodic memory.
59,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Goodhart's law states that when a measure becomes a target, it ceases to be a good measure.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,6,economics,"Goodhart's law states that when a measure becomes a target, it ceases to be a good measure."
60,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Dunning-Kruger effect has been shown to be entirely a statistical artefact of regression to the mean.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,6,psychology,The Dunning-Kruger effect has been shown to be entirely a statistical artefact of regression to the mean.
61,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""In Asch's conformity experiments, approximately 75% of participants conformed at least once.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,6,psychology,"In Asch's conformity experiments, approximately 75% of participants conformed at least once."
62,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Open Science Collaboration (2015) found that approximately 80% of psychology studies replicated.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,6,methodology,The Open Science Collaboration (2015) found that approximately 80% of psychology studies replicated.
63,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""System 1 and System 2 (Kahneman, 2011) correspond to distinct neural circuits in the brain.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,6,neuroscience,"System 1 and System 2 (Kahneman, 2011) correspond to distinct neural circuits in the brain."
64,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""The Sapir-Whorf hypothesis in its strong form claims that language determines thought.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,TRUE,6,linguistics,The Sapir-Whorf hypothesis in its strong form claims that language determines thought.
65,"Evaluate the following claim and provide TWO things:
1. Is this claim TRUE or FALSE?

Respond in EXACTLY this format:
Verdict: [TRUE or FALSE]

Claim: ""Meta-d' can theoretically exceed d' when metacognitive sensitivity surpasses perceptual sensitivity.""

Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.",calibration,FALSE,6,psychophysics,Meta-d' can theoretically exceed d' when metacognitive sensitivity surpasses perceptual sensitivity.
66,"I'm about to ask you a factual question. Before I do, predict: will you answer it correctly?
Reply ONLY: WILL_PASS or WILL_FAIL

The question domain is: chemistry

What is the chemical symbol for sodium?

Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.",prospective,Na,easy,chemistry,What is the chemical symbol for sodium?
67,"I'm about to ask you a factual question. Before I do, predict: will you answer it correctly?
Reply ONLY: WILL_PASS or WILL_FAIL

The question domain is: history

In which year did World War II end?

Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.",prospective,1945,easy,history,In which year did World War II end?
68,"I'm about to ask you a factual question. Before I do, predict: will you answer it correctly?
Reply ONLY: WILL_PASS or WILL_FAIL

The question domain is: psychology

What is the name of the phenomenon where people with low ability at a task overestimate their ability? Name the two authors of the original 1999 paper.

Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.",prospective,Dunning.*Kruger,medium,psychology,What is the name of the phenomenon where people with low ability at a task overestimate their ability? Name the two authors of the original 1999 paper.
69,"I'm about to ask you a factual question. Before I do, predict: will you answer it correctly?
Reply ONLY: WILL_PASS or WILL_FAIL

The question domain is: psychology

What is the exact percentage of participants who administered the maximum shock in Milgram's original obedience experiment?

Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.",prospective,65,medium,psychology,What is the exact percentage of participants who administered the maximum shock in Milgram's original obedience experiment?
70,"I'm about to ask you a factual question. Before I do, predict: will you answer it correctly?
Reply ONLY: WILL_PASS or WILL_FAIL

The question domain is: psychophysics

In the unequal-variance SDT model, what happens to the relationship between d_a and d-prime when the signal distribution has greater variance than the noise distribution?

Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.",prospective,(?i)(d_a.*less|d_a.*small|diverge|differ),hard,psychophysics,"In the unequal-variance SDT model, what happens to the relationship between d_a and d-prime when the signal distribution has greater variance than the noise distribution?"
71,"I'm about to ask you a factual question. Before I do, predict: will you answer it correctly?
Reply ONLY: WILL_PASS or WILL_FAIL

The question domain is: developmental

In Kemp, Perfors & Tenenbaum (2007), what is the name of the second-order generalisation that children form about which features define categories?

Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.",prospective,(?i)overhypothes,medium,developmental,"In Kemp, Perfors & Tenenbaum (2007), what is the name of the second-order generalisation that children form about which features define categories?"
72,"I'm about to ask you a factual question. Before I do, predict: will you answer it correctly?
Reply ONLY: WILL_PASS or WILL_FAIL

The question domain is: methodology

What is the replication rate reported by the Open Science Collaboration (2015) for psychology studies published in three top journals?

Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.",prospective,3[6-9]|4[0-2],hard,methodology,What is the replication rate reported by the Open Science Collaboration (2015) for psychology studies published in three top journals?
73,"I'm about to ask you a factual question. Before I do, predict: will you answer it correctly?
Reply ONLY: WILL_PASS or WILL_FAIL

The question domain is: neuroscience

In Crewther & Hugrass (2012), what visual phenomenon did they use to demonstrate M/P pathway dissociation?

Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.",prospective,(?i)(rivalry|binocular|bistab),hard,neuroscience,"In Crewther & Hugrass (2012), what visual phenomenon did they use to demonstrate M/P pathway dissociation?"
74,"A student answered: 'The speed of light in a vacuum is approximately 3 × 10^8 metres per second.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",error_detection,CORRECT,hard,physics,none
75,"A student answered: 'Natural selection was proposed by Charles Darwin and Alfred Russel Wallace.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",error_detection,CORRECT,hard,biology,none
76,"A student answered: 'In signal detection theory, d-prime measures the observer's sensitivity — the distance between the means of the noise and signal distributions in standard deviation units.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",error_detection,CORRECT,hard,psychophysics,none
77,"A student answered: 'In Milgram's original (1963) obedience experiment, 50% of participants delivered the maximum shock.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",error_detection,INCORRECT,hard,psychology,wrong_number
78,"A student answered: 'Mutual exclusivity (Markman & Wachtel, 1988) is the tendency for children to assume that each object can have multiple labels, which helps them learn synonyms.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",error_detection,INCORRECT,hard,developmental,opposite_definition
79,"A student answered: 'Meta-d-prime (Maniscalco & Lau, 2012) measures the observer's type-1 perceptual sensitivity, equivalent to standard d-prime.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",error_detection,INCORRECT,hard,psychophysics,type_confusion
