item_id,item_type,domain,difficulty,labels,factual_answer,factual_answer_sha256,same_question_and_answer,requested_strength,effective_strength_self,effective_strength_other,candidate_score_self,candidate_rank_self,candidate_word_filtered_rank_self,candidate_score_other,candidate_rank_other,candidate_word_filtered_rank_other,self_minus_other_candidate_score,candidate_rank_self_minus_other,baseline_margin_self,baseline_margin_other,baseline_oriented_margin_self,baseline_oriented_margin_other,intervened_margin_self,intervened_margin_other,steering_delta_raw_self,steering_delta_raw_other,steering_delta_self,steering_delta_other,self_minus_other_steering_effect,baseline_output_self,baseline_output_other,intervened_output_self,intervened_output_other,flipped_self,flipped_other,flip_effect_self,flip_effect_other
5,calibration,geography,1,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,12.0625,31,12,13.0,16,3,-0.9375,15,11.000151284741833,11.625927759947217,11.000151284741833,11.625927759947217,2.7028849489288405,1.385536725691054,-8.297266335812992,-10.240391034256163,-8.297266335812992,-10.240391034256163,1.943124698443171,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
5,calibration,geography,1,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,12.0625,31,12,13.0,16,3,-0.9375,15,11.000151284741833,11.625927759947217,11.000151284741833,11.625927759947217,2.700442689092597,1.3850081821728963,-8.299708595649236,-10.24091957777432,-8.299708595649236,-10.24091957777432,1.9412109821250851,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
6,calibration,biology,1,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,10.9375,59,25,13.0625,13,2,-2.125,46,10.87511358231609,11.375093102932738,10.87511358231609,11.375093102932738,1.879157046219916,0.7542411232716404,-8.995956536096173,-10.620851979661097,-8.995956536096173,-10.620851979661097,1.6248954435649239,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
6,calibration,biology,1,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,10.9375,59,25,13.0625,13,2,-2.125,46,10.87511358231609,11.375093102932738,10.87511358231609,11.375093102932738,1.8792135723488173,0.7541458985069767,-8.995900009967272,-10.620947204425761,-8.995900009967272,-10.620947204425761,1.6250471944584888,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
7,calibration,physics,1,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,11.375,44,17,13.1875,13,3,-1.8125,31,13.250052297784805,9.3750919246163,13.250052297784805,9.3750919246163,2.7649815155527904,1.2762676997226663,-10.485070782232015,-8.098824224893633,-10.485070782232015,-8.098824224893633,-2.3862465573383815,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
7,calibration,physics,1,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,11.375,44,17,13.1875,13,3,-1.8125,31,13.250052297784805,9.3750919246163,13.250052297784805,9.3750919246163,2.7637862422925537,1.1550449022761313,-10.486266055492251,-8.220047022340168,-10.486266055492251,-8.220047022340168,-2.2662190331520833,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
8,calibration,literature,1,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,10.5,73,27,12.8125,17,3,-2.3125,56,9.375068082583311,8.000127446807255,9.375068082583311,8.000127446807255,1.7624858220733586,0.3789014717040118,-7.612582260509953,-7.621225975103243,-7.612582260509953,-7.621225975103243,0.008643714593290497,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
8,calibration,literature,1,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,10.5,73,27,12.8125,17,3,-2.3125,56,9.375068082583311,8.000127446807255,9.375068082583311,8.000127446807255,1.7626402829700965,0.37915943942789454,-7.612427799613215,-7.620968007379361,-7.612427799613215,-7.620968007379361,0.008540207766145613,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
9,calibration,geography,1,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,11.5,37,17,12.9375,14,3,-1.4375,23,8.500059899193502,8.12516602333585,8.500059899193502,8.12516602333585,2.124715218495112,0.910856775008142,-6.37534468069839,-7.214309248327709,-6.37534468069839,-7.214309248327709,0.8389645676293185,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
9,calibration,geography,1,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,11.5,37,17,12.9375,14,3,-1.4375,23,8.500059899193502,8.12516602333585,8.500059899193502,8.12516602333585,2.297125117504038,0.9014924039656762,-6.202934781689464,-7.2236736193701745,-6.202934781689464,-7.2236736193701745,1.0207388376807103,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
10,calibration,biology,2,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,10.875,59,20,13.1875,14,2,-2.3125,45,3.1250117979445804,3.8750270397661097,3.1250117979445804,3.8750270397661097,0.9074123680620687,0.2565327823976986,-2.2175994298825117,-3.618494257368411,-2.2175994298825117,-3.618494257368411,1.4008948274858994,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
10,calibration,biology,2,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,10.875,59,20,13.1875,14,2,-2.3125,45,3.1250117979445804,3.8750270397661097,3.1250117979445804,3.8750270397661097,1.0360868887364632,0.25665493472479284,-2.0889249092081172,-3.618372105041317,-2.0889249092081172,-3.618372105041317,1.5294471958331997,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
11,calibration,physics,2,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,11.875,33,10,13.6875,11,3,-1.8125,22,11.500036306263723,11.000117422717267,11.500036306263723,11.000117422717267,2.3860274308535736,1.5038560715329368,-9.11400887541015,-9.49626135118433,-9.11400887541015,-9.49626135118433,0.3822524757741803,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
11,calibration,physics,2,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,11.875,33,10,13.6875,11,3,-1.8125,22,11.500036306263723,11.000117422717267,11.500036306263723,11.000117422717267,2.3878367341239937,1.5037531690322794,-9.11219957213973,-9.496364253684987,-9.11219957213973,-9.496364253684987,0.38416468154525774,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
12,calibration,astronomy,2,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,11.125,44,17,13.375,12,2,-2.25,32,10.750097765785313,11.500146505231669,10.750097765785313,11.500146505231669,1.8789041802083375,1.0015330353053287,-8.871193585576975,-10.49861346992634,-8.871193585576975,-10.49861346992634,1.627419884349365,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
12,calibration,astronomy,2,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,11.125,44,17,13.375,12,2,-2.25,32,10.750097765785313,11.500146505231669,10.750097765785313,11.500146505231669,1.8786321646766737,1.001441885047825,-8.871465601108639,-10.498704620183844,-8.871465601108639,-10.498704620183844,1.6272390190752049,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
13,calibration,physics,2,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,11.125,33,8,13.625,9,2,-2.5,24,1.0000083446275312,3.0000328454207192,1.0000083446275312,3.0000328454207192,0.008531549072358757,0.1447236962558236,-0.9914767955551724,-2.8553091491648956,-0.9914767955551724,-2.8553091491648956,1.8638323536097232,CORRECT,CORRECT,INCORRECT,CORRECT,True,False,worsened,no_flip
13,calibration,physics,2,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,11.125,33,8,13.625,9,2,-2.5,24,1.0000083446275312,3.0000328454207192,1.0000083446275312,3.0000328454207192,0.13255586070590653,0.1447215864318423,-0.8674524839216247,-2.855311258988877,-0.8674524839216247,-2.855311258988877,1.9878587750672523,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
14,calibration,medicine,2,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,11.75,39,16,13.5,12,3,-1.75,27,11.125062960999458,10.000119691237842,11.125062960999458,10.000119691237842,3.1035312702297233,0.938908907584846,-8.021531690769734,-9.061210783652996,-8.021531690769734,-9.061210783652996,1.0396790928832615,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
14,calibration,medicine,2,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,11.75,39,16,13.5,12,3,-1.75,27,11.125062960999458,10.000119691237842,11.125062960999458,10.000119691237842,3.1416738921398064,0.8120950296579394,-7.983389068859651,-9.188024661579902,-7.983389068859651,-9.188024661579902,1.2046355927202512,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
15,calibration,biology,2,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,11.3125,41,13,14.375,9,1,-3.0625,32,11.750051987191682,11.875102280218925,11.750051987191682,11.875102280218925,1.8802319903916214,1.2557553519000066,-9.86981999680006,-10.619346928318919,-9.86981999680006,-10.619346928318919,0.749526931518858,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
15,calibration,biology,2,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,11.3125,41,13,14.375,9,1,-3.0625,32,11.750051987191682,11.875102280218925,11.750051987191682,11.875102280218925,2.0054083461436676,1.2551747149409493,-9.744643641048015,-10.619927565277976,-9.744643641048015,-10.619927565277976,0.8752839242299615,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
16,calibration,geography,2,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,11.5,45,22,13.1875,11,2,-1.6875,34,13.812550082304824,9.875105389295413,13.812550082304824,9.875105389295413,1.517676676849078,0.8401853427349124,-12.294873405455746,-9.0349200465605,-12.294873405455746,-9.0349200465605,-3.2599533588952454,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
16,calibration,geography,2,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,11.5,45,22,13.1875,11,2,-1.6875,34,13.812550082304824,9.875105389295413,13.812550082304824,9.875105389295413,1.5197680796482018,0.8079228065325879,-12.292782002656622,-9.067182582762825,-12.292782002656622,-9.067182582762825,-3.225599419893797,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
17,calibration,biology,2,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,10.625,70,31,13.25,12,2,-2.625,58,11.875080409601424,11.875104786730162,11.875080409601424,11.875104786730162,2.2855738934667897,0.8854836644022726,-9.589506516134634,-10.98962112232789,-9.589506516134634,-10.98962112232789,1.400114606193256,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
17,calibration,biology,2,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,10.625,70,31,13.25,12,2,-2.625,58,11.875080409601424,11.875104786730162,11.875080409601424,11.875104786730162,2.1278744035735144,1.0102384298515972,-9.747206006027909,-10.864866356878565,-9.747206006027909,-10.864866356878565,1.117660350850656,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
18,calibration,geography,2,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,11.0,32,9,13.0,12,2,-2.0,20,0.37500393392656406,1.8750659353881929,0.37500393392656406,1.8750659353881929,-0.12047147363773547,0.37860169931082055,-0.49547540756429953,-1.4964642360773723,-0.49547540756429953,-1.4964642360773723,1.0009888285130728,CORRECT,CORRECT,INCORRECT,CORRECT,True,False,worsened,no_flip
18,calibration,geography,2,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,11.0,32,9,13.0,12,2,-2.0,20,0.37500393392656406,1.8750659353881929,0.37500393392656406,1.8750659353881929,-0.24585167528130114,0.378761324158404,-0.6208556092078652,-1.4963046112297889,-0.6208556092078652,-1.4963046112297889,0.8754490020219237,CORRECT,CORRECT,INCORRECT,CORRECT,True,False,worsened,no_flip
19,calibration,biology,2,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,10.375,69,28,12.8125,18,3,-2.4375,51,6.625049545922025,6.125126804161027,6.625049545922025,6.125126804161027,1.4359753097669454,0.7625988966028672,-5.189074236155079,-5.36252790755816,-5.189074236155079,-5.36252790755816,0.173453671403081,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
19,calibration,biology,2,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,10.375,69,28,12.8125,18,3,-2.4375,51,6.625049545922025,6.125126804161027,6.625049545922025,6.125126804161027,1.4253471334450296,0.7639975297788624,-5.199702412476995,-5.361129274382165,-5.199702412476995,-5.361129274382165,0.16142686190516997,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
20,calibration,biology,3,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,10.5,75,28,13.1875,13,3,-2.6875,62,9.62511406820613,9.37514556072449,9.62511406820613,9.37514556072449,2.253638190908532,0.8780089868232608,-7.371475877297598,-8.49713657390123,-7.371475877297598,-8.49713657390123,1.1256606966036315,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
20,calibration,biology,3,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,10.5,75,28,13.1875,13,3,-2.6875,62,9.62511406820613,9.37514556072449,9.62511406820613,9.37514556072449,2.128708157535584,0.8781938413449097,-7.496405910670546,-8.496951719379581,-7.496405910670546,-8.496951719379581,1.0005458087090346,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
21,calibration,chemistry,3,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,12.0,31,12,13.625,8,2,-1.625,23,13.312573332178545,9.375146768888044,13.312573332178545,9.375146768888044,2.409397682720737,0.7718902120686835,-10.903175649457808,-8.60325655681936,-10.903175649457808,-8.60325655681936,-2.299919092638447,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
21,calibration,chemistry,3,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,12.0,31,12,13.625,8,2,-1.625,23,13.312573332178545,9.375146768888044,13.312573332178545,9.375146768888044,2.4361163244539057,0.6794456667557824,-10.876457007724639,-8.695701102132261,-10.876457007724639,-8.695701102132261,-2.1807559055923775,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
22,calibration,history,3,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,11.0,54,21,13.3125,12,3,-2.3125,42,11.500395510644353,11.250306585915496,11.500395510644353,11.250306585915496,1.8947744486067677,0.879308870062232,-9.605621062037585,-10.370997715853264,-9.605621062037585,-10.370997715853264,0.7653766538156788,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
22,calibration,history,3,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,11.0,54,21,13.3125,12,3,-2.3125,42,11.500395510644353,11.250306585915496,11.500395510644353,11.250306585915496,1.892873400604003,0.754126623403863,-9.60752211004035,-10.496179962511633,-9.60752211004035,-10.496179962511633,0.8886578524712831,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
23,calibration,neuroscience,3,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,10.875,41,15,12.875,11,2,-2.0,30,4.000027771812938,4.6250910111116355,4.000027771812938,4.6250910111116355,0.5047904380626278,0.1309354059631005,-3.4952373337503104,-4.494155605148535,-3.4952373337503104,-4.494155605148535,0.9989182713982245,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
23,calibration,neuroscience,3,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,10.875,41,15,12.875,11,2,-2.0,30,4.000027771812938,4.6250910111116355,4.000027771812938,4.6250910111116355,0.5048533250082983,0.005836064461618662,-3.49517444680464,-4.619254946650017,-3.49517444680464,-4.619254946650017,1.1240804998453768,CORRECT,CORRECT,CORRECT,INCORRECT,False,True,no_flip,worsened
24,calibration,physics,3,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,11.125,55,22,13.3125,13,3,-2.1875,42,10.875066593973088,10.50009048630477,10.875066593973088,10.50009048630477,2.760235435467621,1.2564970496459864,-8.114831158505467,-9.243593436658784,-8.114831158505467,-9.243593436658784,1.1287622781533173,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
24,calibration,physics,3,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.8,-1.0,-1.0,11.125,55,22,13.3125,13,3,-2.1875,42,10.875066593973088,10.50009048630477,10.875066593973088,10.50009048630477,2.7597188703075517,1.3801102916768286,-8.115347723665536,-9.119980194627942,-8.115347723665536,-9.119980194627942,1.004632470962406,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
25,calibration,neuroscience,3,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.7,-1.0,-1.0,11.375,44,20,13.5625,11,3,-2.1875,33,12.500050471351187,11.250079525506862,12.500050471351187,11.250079525506862,2.752966128580738,1.626993228768697,-9.74708434277045,-9.623086296738165,-9.74708434277045,-9.623086296738165,-0.12399804603228404,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
25,calibration,neuroscience,3,CORRECT/INCORRECT,Verdict: FALSE,e0c99c534c8923c1bc35893350992fb2d2a141709ed0767588326031557b5ebe,True,-1.8,-1.0,-1.0,11.375,44,20,13.5625,11,3,-2.1875,33,12.500050471351187,11.250079525506862,12.500050471351187,11.250079525506862,2.7535519271623343,1.6266426749061793,-9.746498544188853,-9.623436850600683,-9.746498544188853,-9.623436850600683,-0.12306169358816987,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
26,calibration,chemistry,3,CORRECT/INCORRECT,Verdict: TRUE,45d42e561ca90f0d734ab56e3f7bbe6026a137c31956ac16b201249552241faa,True,-1.7,-1.0,-1.0,11.25,43,16,13.5625,13,2,-2.3125,30,12.625810712148905,12.875112294022529,12.625810712148905,12.875112294022529,1.7776642489916412,0.8898136919888202,-10.848146463157263,-11.985298602033708,-10.848146463157263,-11.985298602033708,1.137152138876445,CORRECT,CORRECT,CORRECT,CORRECT,False,False,no_flip,no_flip
