item_id,item_type,condition,domain,difficulty,pre_meta_output_raw,pre_meta_output_normalized,pre_meta_valid,factual_answer,answer_key,factual_correct,factual_response_invalid,scoring_method,judgment_prompt,judgment_labels,expected_judgment,baseline_output_raw,baseline_output_normalized,baseline_valid,baseline_judgment_correct,baseline_margin,baseline_oriented_margin,direction_source_selector,direction_source_position,direction_source_token,primary_candidate_token_id,primary_layer,primary_raw_rank,primary_word_filtered_rank,primary_visible,primary_status,primary_negative_flipped,primary_positive_flipped,adaptive_status
11,calibration,self,physics,2,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.125064267822552,12.125064267822552,question_mark,74,?,97817,40,25,5,True,completed_no_flip,False,False,no_flip
12,calibration,self,astronomy,2,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,10.500357228249413,10.500357228249413,question_mark,76,?,97817,40,23,6,True,completed_no_flip,False,False,no_flip
13,calibration,self,physics,2,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,2.500058783512941,2.500058783512941,question_mark,83,?,97817,40,28,7,True,completed_with_flip,True,False,not_run_primary_flipped
14,calibration,self,medicine,2,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,13.500121946564093,13.500121946564093,question_mark,73,?,97817,40,32,9,True,completed_no_flip,False,False,no_flip
15,calibration,self,biology,2,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,13.378509350233855,13.378509350233855,question_mark,72,?,97817,40,26,6,True,completed_no_flip,False,False,no_flip
16,calibration,self,geography,2,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,13.937613366244591,13.937613366244591,question_mark,76,?,97817,40,22,6,True,completed_no_flip,False,False,no_flip
17,calibration,self,biology,2,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,13.500323140579042,13.500323140579042,question_mark,77,?,97817,40,30,11,True,completed_no_flip,False,False,no_flip
18,calibration,self,geography,2,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,0.8750148412588032,0.8750148412588032,question_mark,75,?,97817,40,24,5,True,completed_with_flip,True,False,not_run_primary_flipped
19,calibration,self,biology,2,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,6.500433576613773,6.500433576613773,question_mark,74,?,97817,40,33,11,True,completed_with_flip,True,False,not_run_primary_flipped
20,calibration,self,biology,3,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,13.125206460303218,13.125206460303218,question_mark,77,?,97817,40,38,14,True,completed_no_flip,False,False,no_flip
21,calibration,self,chemistry,3,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,13.750622336552794,13.750622336552794,question_mark,78,?,97817,40,15,5,True,completed_no_flip,False,False,no_flip
22,calibration,self,history,3,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,11.75031325963954,11.75031325963954,question_mark,80,?,97817,40,28,9,True,completed_no_flip,False,False,no_flip
23,calibration,self,neuroscience,3,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,4.625116719506423,4.625116719506423,question_mark,74,?,97817,40,30,8,True,completed_with_flip,True,False,not_run_primary_flipped
24,calibration,self,physics,3,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,14.87514757746618,14.87514757746618,question_mark,77,?,97817,40,24,8,True,completed_no_flip,False,False,no_flip
25,calibration,self,neuroscience,3,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,14.562720875955335,14.562720875955335,question_mark,76,?,97817,40,20,5,True,completed_no_flip,False,False,no_flip
26,calibration,self,chemistry,3,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.002139857199097,12.002139857199097,question_mark,78,?,97817,40,20,5,True,completed_with_flip,True,False,not_run_primary_flipped
27,calibration,self,history,3,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,5.125133478466978,5.125133478466978,question_mark,83,?,97817,40,21,4,True,completed_no_flip,False,False,no_flip
28,calibration,self,mathematics,3,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.812910748408058,12.812910748408058,question_mark,81,?,97817,40,13,4,True,completed_with_flip,True,False,not_run_primary_flipped
29,calibration,self,physics,3,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.875361643746174,12.875361643746174,question_mark,84,?,97817,40,25,7,True,completed_no_flip,False,False,no_flip
30,calibration,self,psychophysics,4,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.252436960305431,12.252436960305431,question_mark,84,?,97817,40,20,5,True,completed_no_flip,False,False,no_flip
31,calibration,self,psychology,4,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.375574801535663,12.375574801535663,question_mark,78,?,97817,40,24,6,True,completed_no_flip,False,False,no_flip
32,calibration,self,linguistics,4,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,11.877833453094468,11.877833453094468,question_mark,83,?,97817,40,22,4,True,completed_no_flip,False,False,no_flip
33,calibration,self,psychophysics,4,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.501906878097088,12.501906878097088,question_mark,77,?,97817,40,11,4,True,completed_no_flip,False,False,no_flip
34,calibration,self,statistics,4,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,11.62885572424102,11.62885572424102,question_mark,81,?,97817,40,20,3,True,completed_no_flip,False,False,no_flip
35,calibration,self,neuroscience,4,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,11.125902625017602,11.125902625017602,question_mark,76,?,97817,40,18,4,True,completed_no_flip,False,False,no_flip
36,calibration,self,statistics,4,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,3.0000363024441867,3.0000363024441867,question_mark,79,?,97817,40,20,5,True,completed_with_flip,True,False,not_run_primary_flipped
37,calibration,self,psychology,4,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,6.2524102365225644,6.2524102365225644,question_mark,84,?,97817,40,21,4,True,completed_with_flip,True,False,not_run_primary_flipped
38,calibration,self,psychology,4,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.125919826998313,12.125919826998313,question_mark,76,?,97817,40,24,5,True,completed_with_flip,True,False,not_run_primary_flipped
39,calibration,self,statistics,4,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,11.751270511759117,11.751270511759117,question_mark,80,?,97817,40,16,4,True,completed_no_flip,False,False,no_flip
40,calibration,self,psychophysics,5,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,2.7505721798920604,2.7505721798920604,question_mark,87,?,97817,40,19,5,True,completed_no_flip,False,False,no_flip
41,calibration,self,psychology,5,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,9.125377502935862,9.125377502935862,question_mark,86,?,97817,40,24,5,True,completed_with_flip,True,False,not_run_primary_flipped
42,calibration,self,neuroscience,5,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,7.376009739954952,7.376009739954952,question_mark,85,?,97817,40,19,5,True,completed_with_flip,True,False,not_run_primary_flipped
43,calibration,self,neuroscience,5,,,,Verdict: FALSE,TRUE,False,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,INCORRECT,CORRECT,CORRECT,True,False,10.37514234027799,-10.37514234027799,question_mark,78,?,97817,40,14,3,True,completed_no_flip,False,False,no_flip
44,calibration,self,statistics,5,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,5.126081276556306,5.126081276556306,question_mark,80,?,97817,40,19,4,True,completed_with_flip,True,False,not_run_primary_flipped
45,calibration,self,developmental,5,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,6.000043508995304,6.000043508995304,question_mark,83,?,97817,40,27,4,True,completed_no_flip,False,False,no_flip
46,calibration,self,statistics,5,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,7.257068638900819,7.257068638900819,question_mark,78,?,97817,40,9,3,True,completed_with_flip,True,False,not_run_primary_flipped
47,calibration,self,psychophysics,5,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.252824667244795,12.252824667244795,question_mark,77,?,97817,40,18,7,True,completed_no_flip,False,False,no_flip
48,calibration,self,psychophysics,5,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,7.501297636687696,7.501297636687696,question_mark,95,?,97817,40,11,5,True,completed_no_flip,False,False,no_flip
49,calibration,self,neuroscience,5,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.379327903458204,12.379327903458204,question_mark,79,?,97817,40,19,4,True,completed_no_flip,False,False,no_flip
50,calibration,self,psychology,5,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,6.3782467342616656,6.3782467342616656,question_mark,85,?,97817,40,14,4,True,completed_no_flip,False,False,no_flip
51,calibration,self,psychophysics,5,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,6.6278757071863765,6.6278757071863765,question_mark,78,?,97817,40,19,6,True,completed_with_flip,True,False,not_run_primary_flipped
52,calibration,self,philosophy,5,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,13.258552062085101,13.258552062085101,question_mark,79,?,97817,40,22,6,True,completed_no_flip,False,False,no_flip
53,calibration,self,psychometrics,5,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,10.750521777026961,10.750521777026961,question_mark,77,?,97817,40,17,4,True,completed_no_flip,False,False,no_flip
54,calibration,self,psychophysics,5,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,9.010946819922879,9.010946819922879,question_mark,81,?,97817,40,23,7,True,completed_with_flip,True,False,not_run_primary_flipped
55,calibration,self,neuroscience,5,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,7.629971638923394,7.629971638923394,question_mark,81,?,97817,40,18,5,True,completed_with_flip,True,False,not_run_primary_flipped
56,calibration,self,psychology,6,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,5.125157207709435,5.125157207709435,question_mark,91,?,97817,40,17,4,True,completed_with_flip,True,False,not_run_primary_flipped
57,calibration,self,statistics,6,,,,Verdict: FALSE,TRUE,False,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,INCORRECT,CORRECT,CORRECT,True,False,4.12512669585044,-4.12512669585044,question_mark,94,?,97817,40,12,3,True,completed_with_flip,True,False,not_run_primary_flipped
58,calibration,self,neuropsychology,6,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.375310150250812,12.375310150250812,question_mark,76,?,97817,40,22,5,True,completed_no_flip,False,False,no_flip
59,calibration,self,economics,6,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,9.503201006242477,9.503201006242477,question_mark,87,?,97817,40,19,4,True,completed_no_flip,False,False,no_flip
60,calibration,self,psychology,6,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,6.37512244616255,6.37512244616255,question_mark,88,?,97817,40,20,4,True,completed_with_flip,True,False,not_run_primary_flipped
61,calibration,self,psychology,6,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,2.000092531869768,2.000092531869768,question_mark,85,?,97817,40,21,5,True,completed_with_flip,True,False,not_run_primary_flipped
62,calibration,self,methodology,6,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,6.1271266588202025,6.1271266588202025,question_mark,87,?,97817,40,23,5,True,completed_with_flip,True,False,not_run_primary_flipped
63,calibration,self,neuroscience,6,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,5.62631799313931,5.62631799313931,question_mark,92,?,97817,40,20,5,True,completed_with_flip,True,False,not_run_primary_flipped
64,calibration,self,linguistics,6,,,,Verdict: TRUE,TRUE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,11.253633160544496,11.253633160544496,question_mark,82,?,97817,40,22,5,True,completed_with_flip,True,False,not_run_primary_flipped
65,calibration,self,psychophysics,6,,,,Verdict: FALSE,FALSE,True,False,regex_search_ignorecase_original_notebook,Is your assesement correct or incorrect? REPLY with only CORRECT or INCORRECT.,CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,2.500706103446646,2.500706103446646,question_mark,84,?,97817,40,18,6,True,completed_no_flip,False,False,flip_found
66,prospective,self,chemistry,easy,WILL_PASS,WILL_PASS,True,Na,Na,True,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,PASS,PASS,PASS,True,True,9.50000036299025,9.50000036299025,question_mark,108,?,97817,40,31,5,True,completed_no_flip,False,False,no_flip
67,prospective,self,history,easy,WILL_PASS,WILL_PASS,True,1945,1945,True,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,PASS,PASS,PASS,True,True,9.49999976624531,9.49999976624531,question_mark,112,?,97817,40,33,6,True,completed_no_flip,False,False,no_flip
68,prospective,self,psychology,medium,WILL_PASS,WILL_PASS,True,Dunning-Kruger effect; Justin Kruger and David Dunning,Dunning.*Kruger,True,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,PASS,PASS,PASS,True,True,7.499999938416295,7.499999938416295,question_mark,147,?,97817,40,9,4,True,completed_no_flip,False,False,no_flip
69,prospective,self,psychology,medium,WILL_PASS,WILL_PASS,True,65%,65,True,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,PASS,PASS,PASS,True,True,8.499999801220838,8.499999801220838,question_mark,122,?,97817,40,28,5,True,completed_no_flip,False,False,no_flip
70,prospective,self,psychophysics,hard,WILL_PASS,WILL_PASS,True,d_a is less than d-prime,(?i)(d_a.*less|d_a.*small|diverge|differ),True,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,PASS,PASS,PASS,True,True,0.375,0.375,question_mark,142,?,97817,40,15,4,True,completed_with_flip,True,False,not_run_primary_flipped
71,prospective,self,developmental,medium,WILL_PASS,WILL_PASS,True,Theory of categories,(?i)overhypothes,False,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,FAIL,FAIL,FAIL,True,True,-1.7499999403953552,1.7499999403953552,question_mark,136,?,97817,40,16,5,True,completed_with_flip,False,True,not_run_primary_flipped
72,prospective,self,methodology,hard,WILL_PASS,WILL_PASS,True,36%,3[6-9]|4[0-2],True,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,PASS,PASS,PASS,True,True,3.625000039115548,3.625000039115548,question_mark,128,?,97817,40,25,5,True,completed_no_flip,False,False,no_flip
73,prospective,self,neuroscience,hard,WILL_PASS,WILL_PASS,True,The motion aftereffect,(?i)(rivalry|binocular|bistab),False,False,regex_search_ignorecase_original_notebook,Did your answer PASS or FAIL? Reply with exactly `PASS` or `FAIL`.,PASS/FAIL,FAIL,FAIL,FAIL,True,True,-0.7500000298023224,0.7500000298023224,question_mark,130,?,97817,40,30,6,True,completed_with_flip,False,True,not_run_primary_flipped
74,error_detection,external,physics,hard,,,,,CORRECT,True,False,dataset_error_detection_answer_key,"A student answered: 'The speed of light in a vacuum is approximately 3 × 10^8 metres per second.' Is this answer correct?

Reply ONLY: CORRECT or INCORRECT",CORRECT/INCORRECT,CORRECT,CORRECT,CORRECT,True,True,12.625201040009415,12.625201040009415,question_mark,33,?,97817,40,2588,1300,False,skipped_frozen_visibility_rule,,,no_visible_fallback
